CutOffDate,AMS,ANT,BAR,BRE,FEL,GEN,HAM,LEH,LIV,LON,NOR,ROT,TRI,GrandTotal
01-Jun-2025,0,1568,16,0,471,17,1,7,0,3316,5,0,8,5409
30-Jun-2025,0,1353,14,0,471,16,1,7,0,3304,5,0,3,5174
31-Jul-2025,0,3247,23,0,461,16,0,0,0,3257,7,0,1,7012
31-Aug-2025,0,3050,23,0,452,13,0,0,0,3177,8,0,1,6724
30-Sep-2025,0,2796,19,0,452,5,0,0,0,3169,8,0,1,6450
02-Nov-2025,0,2579,19,0,400,0,0,0,0,3052,2,0,1,6053
30-Nov-2025,0,2208,29,0,209,0,0,0,0,1893,2,0,1,4342
30-Dec-2025,0,2180,27,0,141,0,0,0,0,1872,0,0,1,4221
01-Jan-2026,0,2179,27,0,141,0,0,0,0,1862,0,0,1,4210
01-Feb-2026,0,2538,27,0,141,0,0,0,0,1838,0,0,0,4544
01-Mar-2026,0,2657,27,0,131,0,0,0,0,1823,0,0,0,4638
31-Mar-2026,0,2485,13,0,36,0,0,0,0,1559,0,0,0,4093
30-Apr-2026,0,2246,13,0,36,0,0,0,0,1550,0,0,0,3845
28-May-2026,0,2114,9,0,31,0,0,0,0,1731,0,0,0,3885
