Date,AMS,ANT,BAR,BRE,FEL,GEN,HAM,LEH,LIV,LON,NOR,ROT,TRI,Total
2025-06-01,0,1568,16,0,471,17,1,7,0,3316,5,0,8,5409
2025-06-30,0,1353,14,0,471,16,1,7,0,3304,5,0,3,5174
2025-07-31,0,3247,23,0,461,16,0,0,0,3257,7,0,1,7012
2025-08-31,0,3050,23,0,452,13,0,0,0,3177,8,0,1,6724
2025-09-30,0,2796,19,0,452,5,0,0,0,3169,8,0,1,6450
2025-11-02,0,2579,19,0,400,0,0,0,0,3052,2,0,1,6053
2025-11-30,0,2208,29,0,209,0,0,0,0,1893,2,0,1,4342
2025-12-30,0,2180,27,0,141,0,0,0,0,1872,0,0,1,4221
2026-01-01,0,2179,27,0,141,0,0,0,0,1862,0,0,1,4210
2026-02-01,0,2538,27,0,141,0,0,0,0,1838,0,0,0,4544
2026-03-01,0,2657,27,0,131,0,0,0,0,1823,0,0,0,4638
2026-03-31,0,2485,13,0,36,0,0,0,0,1559,0,0,0,4093
2026-04-30,0,2246,13,0,36,0,0,0,0,1550,0,0,0,3845
2026-05-28,0,2114,9,0,31,0,0,0,0,1731,0,0,0,3885
